sys,msg,itr,dvfs,rapl,rnd_mean,joules_mean,time_mean,edp_mean,llcmiss_total_mean,cycles_total_mean,ins_total_mean,gov_mean,tput_mean,eput_mean,rnd_std,joules_std,time_std,edp_std,llcmiss_total_std,cycles_total_std,ins_total_std,gov_std,tput_std,eput_std
ebbrt,64,6,0x1000,135,4.5,2.9155466059999995,0.1410088804168553,0.20556659909714958,31160283.6,12738265471.7,1851877270.4,0.0,2269470.5088468157,21.951960264223338,3.0276503540974917,0.017012484916494857,0.0010335882991998973,0.0026803105659581328,274574.5215930341,104102313.6252734,13193282.352716934,0.0,16658.25127828378,0.12822508940126523
ebbrt,64,6,0x1100,135,4.5,2.492841554,0.11479006103105552,0.14307924914826126,25548504.1,10559404031.9,1527920458.6,0.0,2787745.8676755126,25.674294827340212,3.0276503540974917,0.014495378333509031,0.0005028348284780667,0.0013737416072598374,261856.37444618362,86193521.38678563,8296091.531719295,0.0,12194.13268675448,0.14940093322377682
ebbrt,64,6,0x1200,135,4.5,2.534017612,0.11266726454043603,0.1427529603310679,25957607.7,10590807648.4,1502740425.5,0.0,2840288.9823334534,25.257084484195733,3.0276503540974917,0.014578526522706803,0.000578263067638346,0.0014236921205269535,201570.49685465684,71222752.5250629,10218622.942973832,0.0,14584.566726381805,0.1445757390205678
ebbrt,64,6,0x1500,135,4.5,4.000242666,0.17161118714178866,0.34324633912532637,52669403.3,18871213352.8,2225684411.4,0.0,1864696.6093422107,15.999207465757655,3.027650354097492,0.014073365248080264,0.0005354322327122018,0.0022383185118810636,326079.24643798894,85390736.95685366,11529465.650483819,0.0,5807.96295973841,0.05623943288074445
ebbrt,64,6,0x1600,135,4.5,4.176739826,0.17378824292698034,0.36293601654517516,53904469.3,19790955618.9,2256247232.4,0.0,1841331.6266051761,15.323123908125288,3.0276503540974917,0.014574430829540828,0.0004329974061499387,0.001984224726669383,323781.88155301596,120465672.5391758,11089983.493053835,0.0,4588.260735845366,0.05351004692425058
ebbrt,64,6,0x1700,135,4.5,4.281670638,0.1725661723331629,0.3694379116005776,52321634.5,19749709738.1,2233957009.6,0.0,1854368.6379509196,14.947680349755439,3.0276503540974917,0.018219071078577606,0.0003668577165452059,0.0022057989197720564,185767.6177158802,76414669.05175076,8177318.348639613,0.0,3931.122914744577,0.063673799776402
ebbrt,64,6,0x1800,135,4.5,4.302352516,0.1697769146816947,0.365222987040127,51331722.3,19481487939.1,2202133932.7,0.0,1884839.6743361733,14.875797753752744,3.0276503540974913,0.01725315032942819,0.0004760304062295457,0.0023585234382465397,310745.98570574046,85244137.74241127,9757648.248197224,0.0,5285.796723181238,0.059628424629883554
ebbrt,64,6,0x1900,135,4.5,4.226490478,0.1637913211349383,0.3487527990167029,46743656.1,17970772227.0,2119292574.5,0.0,1968293.5615409527,15.344689695058847,3.0276503540974917,0.439465737559998,0.013263190131796733,0.05669571831104965,12076831.55574194,3963169751.305741,188508497.88014963,0.0,200191.50604700716,2.1601732635481783
ebbrt,64,6,0x1A00,135,4.5,2.9840258559999997,0.12456249964224127,0.18640958603124688,13942169.7,7144839556.3,1547280397.2,0.0,2574594.3214533674,21.541607251418167,3.0276503540974917,0.20586264222904355,0.006066082063301278,0.021694351924207034,5559825.421184155,1708764763.7384348,47253929.50545085,0.0,127973.97153199543,1.5180706573134104
ebbrt,64,6,0x1B00,135,4.5,2.6347366639999996,0.11370878662371953,0.14984476123327253,3367009.7,3865707088.5,1500741381.2,0.0,2814783.431006629,24.303511805128334,3.0276503540974917,0.06361021747890971,0.0017174930642369557,0.005870928732216113,1006987.4761700587,271805501.2832044,25976883.06973091,0.0,42448.80136850107,0.5828332700927122
