i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
13 0 0 6 198 0 0 0 0 0 0 0 0 11307334552801
14 0 0 3 7570 0 0 0 0 0 0 0 0 11307334597991
15 0 0 0 0 0 0 0 0 0 0 0 0 11307334657993
16 0 0 3 7570 0 0 0 0 0 0 0 0 11307334886715
17 1 66 0 0 0 0 0 0 0 0 0 0 11307334967355
18 0 0 3 15140 0 0 0 0 0 0 0 0 11307335038044
19 0 0 4 15140 0 0 0 0 0 0 0 0 11307335135903
20 1 66 0 0 0 0 0 0 0 0 0 0 11307335219357
21 0 0 7 23152 0 0 0 0 0 0 0 0 11307335311340
22 2 132 0 0 160932410446 364356136159 372343586087 353703211 4896103437 0 10027249824222 751704069 11307335406344
23 10 15140 0 0 0 0 0 0 0 0 0 0 11307335507910
24 12 18168 2 66 0 0 0 0 0 0 0 0 11307335615048
25 20 30280 2 66 0 0 0 0 0 0 0 0 11307335727689
26 4 4984 2 66 0 0 0 0 0 0 0 0 11307335846842
27 0 0 4 132 0 0 0 0 0 0 0 0 11307335970578
28 0 0 9 60560 0 0 0 0 0 0 0 0 11307336101088
29 2 132 0 0 0 0 0 0 0 0 0 0 11307336238054
30 0 0 3 8012 0 0 0 0 0 0 0 0 11307336380462
31 7 9150 0 0 0 0 0 0 0 0 0 0 11307336531618
32 40 59488 2 66 0 0 0 0 0 0 0 0 11307336721970
33 0 0 4 132 0 0 0 0 0 0 0 0 11307336886594
34 0 0 0 0 0 0 0 0 0 0 0 0 11307337052893
35 1 66 6 60560 0 0 0 0 0 0 0 0 11307337223923
36 1 66 3 8012 0 0 0 0 0 0 0 0 11307337403610
37 1 66 0 0 0 0 0 0 0 0 0 0 11307337588030
38 46 68572 0 0 0 0 0 0 0 0 0 0 11307337775682
39 0 0 4 132 0 0 0 0 0 0 0 0 11307337975287
40 1 66 0 0 0 0 0 0 0 0 0 0 11307338176237
41 2 132 9 68572 160932842943 364356983332 372344955989 353709417 4896103437 0 10027249824222 751705646 11307338370461
42 8 12112 0 0 0 0 0 0 0 0 0 0 11307338416588
43 14 21196 2 66 0 0 0 0 0 0 0 0 11307338464542
44 5 7570 2 66 0 0 0 0 0 0 0 0 11307338518794
45 0 0 2 66 0 0 0 0 0 0 0 0 11307338578156
46 19 27694 0 0 0 0 0 0 0 0 0 0 11307338687449
47 0 0 2 66 0 0 0 0 0 0 0 0 11307338842907
48 0 0 0 0 0 0 0 0 0 0 0 0 11307338919180
49 0 0 0 0 0 0 0 0 0 0 0 0 11307339002483
50 0 0 6 60560 0 0 0 0 0 0 0 0 11307339091606
51 1 66 3 8012 0 0 0 0 0 0 0 0 11307339186620
52 1 66 0 0 0 0 0 0 0 0 0 0 11307339287525
53 24 36336 0 0 0 0 0 0 0 0 0 0 11307339395390
54 3 4542 2 66 0 0 0 0 0 0 0 0 11307339512691
55 19 27694 2 66 0 0 0 0 0 0 0 0 11307339574918
56 0 0 2 66 0 0 0 0 0 0 0 0 11307339672191
57 0 0 0 0 0 0 0 0 0 0 0 0 11307339717966
58 0 0 0 0 0 0 0 0 0 0 0 0 11307339771558
59 0 0 6 60560 0 0 0 0 0 0 0 0 11307339831005
60 0 0 3 8012 0 0 0 0 0 0 0 0 11307339896162
61 1 66 0 0 0 0 0 0 0 0 0 0 11307340003240
62 1 66 0 0 0 0 0 0 0 0 0 0 11307340080441
63 6 9084 0 0 0 0 0 0 0 0 0 0 11307340164067
64 21 31794 2 66 0 0 0 0 0 0 0 0 11307340254612
65 19 27694 2 66 0 0 0 0 0 0 0 0 11307340346968
66 0 0 2 66 0 0 0 0 0 0 0 0 11307340449437
67 0 0 0 0 0 0 0 0 0 0 0 0 11307340555420
68 2 132 6 60560 0 0 0 0 0 0 0 0 11307340668808
69 2 132 3 8012 0 0 0 0 0 0 0 0 11307340787597
70 7 9150 0 0 0 0 0 0 0 0 0 0 11307340912393
71 27 40878 2 66 0 0 0 0 0 0 0 0 11307341043215
72 13 18610 4 132 0 0 0 0 0 0 0 0 11307341180227
73 0 0 2 66 160933406636 364358058920 372346505691 353718226 4896103437 0 10027249824222 751707105 11307341321560
74 0 0 6 60560 0 0 0 0 0 0 0 0 11307341470403
75 2 132 3 8012 0 0 0 0 0 0 0 0 11307341624950
76 27 40878 0 0 0 0 0 0 0 0 0 0 11307341785570
77 19 27694 2 66 0 0 0 0 0 0 0 0 11307341952469
78 0 0 2 66 0 0 0 0 0 0 0 0 11307342123352
79 0 0 6 60560 0 0 0 0 0 0 0 0 11307342303720
80 2 132 3 8012 0 0 0 0 0 0 0 0 11307342485973
81 27 40878 0 0 0 0 0 0 0 0 0 0 11307342706327
82 19 27694 2 66 0 0 0 0 0 0 0 0 11307342880852
83 0 0 2 66 0 0 0 0 0 0 0 0 11307343076735
84 0 0 6 60560 0 0 0 0 0 0 0 0 11307343283349
85 2 132 3 8012 0 0 0 0 0 0 0 0 11307343495515
86 27 40878 0 0 0 0 0 0 0 0 0 0 11307343744901
