i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
5 7 8594 4 108 0 0 0 0 0 0 0 0 1081548118150
6 0 0 5 8246 0 0 0 0 0 0 0 0 1081548454192
7 0 0 0 0 0 0 0 0 0 0 0 0 1081548481379
8 4 8420 6 8300 0 0 0 0 0 0 0 0 1081548522496
9 0 0 0 0 0 0 0 0 0 0 0 0 1081548557074
10 0 0 0 0 0 0 0 0 0 0 0 0 1081548713197
11 3 8360 6 8300 0 0 0 0 0 0 0 0 1081548816745
12 0 0 0 0 0 0 0 0 0 0 0 0 1081548818750
13 1 60 0 0 0 0 0 0 0 0 0 0 1081548832143
14 0 0 0 0 0 0 0 0 0 0 0 0 1081548866837
15 3 8360 6 8300 0 0 0 0 0 0 0 0 1081548891497
16 0 0 0 0 0 0 0 0 0 0 0 0 1081548926075
17 0 0 0 0 0 0 0 0 0 0 0 0 1081548994187
18 5 8474 9 8354 0 0 0 0 0 0 0 0 1081549042994
19 0 0 0 0 0 0 0 0 0 0 0 0 1081549104610
20 4 8420 6 8300 0 0 0 0 0 0 0 0 1081549170431
21 0 0 0 0 0 0 0 0 0 0 0 0 1081549187704
22 0 0 0 0 0 0 0 0 0 0 0 0 1081549236022
23 2 120 0 0 0 0 0 0 0 0 0 0 1081549250459
24 0 0 0 0 0 0 0 0 0 0 0 0 1081549285090
25 2 8300 6 8300 0 0 0 0 0 0 0 0 1081549338556
26 0 0 0 0 0 0 0 0 0 0 0 0 1081549497946
27 5 8474 9 8354 0 0 0 0 0 0 0 0 1081549563448
28 0 0 0 0 0 0 0 0 0 0 0 0 1081549611244
29 0 0 0 0 0 0 0 0 0 0 0 0 1081549645792
30 3 8360 6 8300 0 0 0 0 0 0 0 0 1081549670046
31 0 0 0 0 0 0 0 0 0 0 0 0 1081549704531
32 0 0 0 0 0 0 0 0 0 0 0 0 1081549739472
33 3 4518 2 54 0 0 0 0 0 0 0 0 1081549771864
34 0 0 0 0 0 0 0 0 0 0 0 0 1081549806457
35 1 3902 4 8246 0 0 0 0 0 0 0 0 1081549990018
36 4 8420 6 8300 0 0 0 0 0 0 0 0 1081550063350
37 0 0 0 0 0 0 0 0 0 0 0 0 1081550110536
38 2 120 0 0 0 0 0 0 0 0 0 0 1081550125490
39 0 0 0 0 0 0 0 0 0 0 0 0 1081550160103
40 2 8300 6 8300 0 0 0 0 0 0 0 0 1081550214805
41 0 0 0 0 0 0 0 0 0 0 0 0 1081550249905
42 5 8474 9 8354 0 0 0 0 0 0 0 0 1081550329521
43 0 0 0 0 0 0 0 0 0 0 0 0 1081550346863
44 0 0 0 0 0 0 0 0 0 0 0 0 1081550363761
45 0 0 0 0 0 0 0 0 0 0 0 0 1081550425522
46 4 8420 6 8300 0 0 0 0 0 0 0 0 1081550489108
47 0 0 0 0 0 0 0 0 0 0 0 0 1081550506238
48 0 0 0 0 0 0 0 0 0 0 0 0 1081550556175
49 1 60 0 0 0 0 0 0 0 0 0 0 1081550570438
50 1 60 0 0 0 0 0 0 0 0 0 0 1081550607490
51 2 8300 6 8300 0 0 0 0 0 0 0 0 1081550661082
52 0 0 0 0 0 0 0 0 0 0 0 0 1081550813397
53 4 8420 6 8300 0 0 0 0 0 0 0 0 1081550888333
54 0 0 0 0 209895 1568726 2838665 6772 0 0 0 839915894 1081550935558
55 2 120 0 0 0 0 0 0 0 0 0 0 1081550953571
56 0 0 0 0 0 0 0 0 0 0 0 0 1081550988207
57 2 8300 6 8300 0 0 0 0 0 0 0 0 1081551042649
58 0 0 0 0 0 0 0 0 0 0 0 0 1081551077676
59 5 8474 9 8354 0 0 0 0 0 0 0 0 1081551180468
60 0 0 0 0 0 0 0 0 0 0 0 0 1081551183359
61 0 0 0 0 0 0 0 0 0 0 0 0 1081551246193
62 2 120 0 0 0 0 0 0 0 0 0 0 1081551263245
63 0 0 0 0 0 0 0 0 0 0 0 0 1081551280335
64 2 8300 6 8300 0 0 0 0 0 0 0 0 1081551312409
65 0 0 0 0 0 0 0 0 0 0 0 0 1081551329267
66 0 0 0 0 0 0 0 0 0 0 0 0 1081551377778
67 2 120 0 0 0 0 0 0 0 0 0 0 1081551392573
68 0 0 0 0 0 0 0 0 0 0 0 0 1081551427131
69 2 8300 6 8300 0 0 0 0 0 0 0 0 1081551480627
70 0 0 0 0 0 0 0 0 0 0 0 0 1081551515692
71 2 120 0 0 0 0 0 0 0 0 0 0 1081551562641
72 2 8300 6 8300 0 0 0 0 0 0 0 0 1081551608218
73 0 0 0 0 0 0 0 0 0 0 0 0 1081551669863
74 2 120 0 0 0 0 0 0 0 0 0 0 1081551686567
75 0 0 0 0 0 0 0 0 0 0 0 0 1081551748357
76 2 8300 6 8300 0 0 0 0 0 0 0 0 1081551798614
77 0 0 0 0 0 0 0 0 0 0 0 0 1081551815588
78 0 0 0 0 0 0 0 0 0 0 0 0 1081551863238
