i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
10 0 0 3 72 0 0 0 0 0 0 0 0 7175532622944
11 0 0 3 7570 0 0 0 0 0 0 0 0 7175532653884
12 0 0 3 1018 0 0 0 0 0 0 0 0 7175533208365
13 0 0 3 8588 0 0 0 0 0 0 0 0 7175533241361
14 0 0 0 0 0 0 0 0 0 0 0 0 7175534005992
15 0 0 2 66 0 0 0 0 0 0 0 0 7175534042936
16 0 0 3 8588 0 0 0 0 0 0 0 0 7175534078724
17 0 0 0 0 0 0 0 0 0 0 0 0 7175534443376
18 0 0 2 66 198020611199 438449261585 438675061714 176596013 2657528129 0 6162039515728 3392652853 7175534518649
19 0 0 3 8588 0 0 0 0 0 0 0 0 7175534542105
20 0 0 0 0 0 0 0 0 0 0 0 0 7175534860135
21 0 0 2 66 0 0 0 0 0 0 0 0 7175534924610
22 0 0 3 8588 0 0 0 0 0 0 0 0 7175534953678
23 0 0 0 0 0 0 0 0 0 0 0 0 7175535471937
24 0 0 2 66 0 0 0 0 0 0 0 0 7175535545558
25 0 0 3 8588 0 0 0 0 0 0 0 0 7175535576358
26 0 0 0 0 0 0 0 0 0 0 0 0 7175536079442
27 0 0 2 66 0 0 0 0 0 0 0 0 7175536104218
28 0 0 3 8588 0 0 0 0 0 0 0 0 7175536205110
29 7 8654 0 0 0 0 0 0 0 0 0 0 7175536323462
30 0 0 0 0 0 0 0 0 0 0 0 0 7175536353542
31 0 0 2 66 0 0 0 0 0 0 0 0 7175536377578
32 0 0 3 8588 0 0 0 0 0 0 0 0 7175536436898
33 1 66 0 0 0 0 0 0 0 0 0 0 7175536470218
34 4 4608 0 0 0 0 0 0 0 0 0 0 7175536510114
35 3 4046 2 66 0 0 0 0 0 0 0 0 7175536566358
36 0 0 2 66 0 0 0 0 0 0 0 0 7175536591418
37 0 0 3 8588 0 0 0 0 0 0 0 0 7175536614790
38 0 0 0 0 0 0 0 0 0 0 0 0 7175536647566
39 1 66 0 0 0 0 0 0 0 0 0 0 7175536689146
40 6 8588 0 0 0 0 0 0 0 0 0 0 7175536741782
41 0 0 2 66 0 0 0 0 0 0 0 0 7175536778674
42 0 0 3 8588 0 0 0 0 0 0 0 0 7175536801986
43 0 0 0 0 0 0 0 0 0 0 0 0 7175536846614
44 1 66 0 0 0 0 0 0 0 0 0 0 7175536885650
45 5 7570 0 0 0 0 0 0 0 0 0 0 7175536916706
46 1 1018 2 66 0 0 0 0 0 0 0 0 7175536963002
47 0 0 3 8588 0 0 0 0 0 0 0 0 7175536986102
48 0 0 0 0 0 0 0 0 0 0 0 0 7175537024814
49 1 66 0 0 0 0 0 0 0 0 0 0 7175537063950
50 6 8588 0 0 0 0 0 0 0 0 0 0 7175537097874
51 0 0 2 66 0 0 0 0 0 0 0 0 7175537135150
52 0 0 3 8588 0 0 0 0 0 0 0 0 7175537158354
53 0 0 0 0 0 0 0 0 0 0 0 0 7175537188158
54 1 66 0 0 0 0 0 0 0 0 0 0 7175537214858
55 1 66 0 0 0 0 0 0 0 0 0 0 7175537241946
56 6 8588 0 0 0 0 0 0 0 0 0 0 7175537273314
57 0 0 2 66 0 0 0 0 0 0 0 0 7175537310250
58 0 0 3 8588 0 0 0 0 0 0 0 0 7175537333530
59 0 0 0 0 0 0 0 0 0 0 0 0 7175537366318
60 1 66 0 0 0 0 0 0 0 0 0 0 7175537408234
61 6 8588 0 0 198020982366 438450153622 438676202603 176599665 2657528129 0 6162039515728 3392654310 7175537442326
62 0 0 2 66 0 0 0 0 0 0 0 0 7175537485642
63 0 0 3 8588 0 0 0 0 0 0 0 0 7175537538434
64 1 66 0 0 0 0 0 0 0 0 0 0 7175537565294
65 1 66 0 0 0 0 0 0 0 0 0 0 7175537595382
66 6 8588 0 0 0 0 0 0 0 0 0 0 7175537626762
67 0 0 2 66 0 0 0 0 0 0 0 0 7175537663762
68 0 0 3 8588 0 0 0 0 0 0 0 0 7175537686962
69 0 0 0 0 0 0 0 0 0 0 0 0 7175537719678
70 1 66 0 0 0 0 0 0 0 0 0 0 7175537758734
71 6 8588 0 0 0 0 0 0 0 0 0 0 7175537793802
72 0 0 2 66 0 0 0 0 0 0 0 0 7175537829830
73 0 0 3 8588 0 0 0 0 0 0 0 0 7175537853214
74 0 0 0 0 0 0 0 0 0 0 0 0 7175537888974
75 1 66 0 0 0 0 0 0 0 0 0 0 7175537936918
76 6 8588 0 0 0 0 0 0 0 0 0 0 7175537974046
77 0 0 2 66 0 0 0 0 0 0 0 0 7175538008130
78 0 0 3 8588 0 0 0 0 0 0 0 0 7175538031374
79 0 0 0 0 0 0 0 0 0 0 0 0 7175538067146
80 1 66 0 0 0 0 0 0 0 0 0 0 7175538103378
81 6 8588 0 0 0 0 0 0 0 0 0 0 7175538137182
82 0 0 2 66 0 0 0 0 0 0 0 0 7175538171342
83 0 0 3 8588 0 0 0 0 0 0 0 0 7175538194702
84 0 0 0 0 0 0 0 0 0 0 0 0 7175538227482
85 1 66 0 0 0 0 0 0 0 0 0 0 7175538275194
86 6 8588 0 0 0 0 0 0 0 0 0 0 7175538310278
87 0 0 2 66 0 0 0 0 0 0 0 0 7175538346674
88 0 0 3 8588 0 0 0 0 0 0 0 0 7175538369934
89 0 0 0 0 0 0 0 0 0 0 0 0 7175538402702
90 1 66 0 0 0 0 0 0 0 0 0 0 7175538429470
91 1 66 0 0 0 0 0 0 0 0 0 0 7175538459538
92 6 8588 0 0 0 0 0 0 0 0 0 0 7175538491282
93 0 0 2 66 0 0 0 0 0 0 0 0 7175538527830
94 0 0 3 8588 0 0 0 0 0 0 0 0 7175538551066
95 0 0 0 0 0 0 0 0 0 0 0 0 7175538586826
96 1 66 0 0 0 0 0 0 0 0 0 0 7175538625710
97 6 8588 0 0 0 0 0 0 0 0 0 0 7175538657598
98 0 0 2 66 0 0 0 0 0 0 0 0 7175538694142
