sys i core itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END
ebbrt_core 0 0 50 0x1d00 135 200112.0 30.0 1230.93 3115707009 9674253631 544261759 13403617 0 0 0 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 1 50 0x1d00 135 200112.0 30.0 1256.33 3096338052 9993718830 558944380 16022521 60755 0 243194 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 2 50 0x1d00 135 200112.0 30.0 0.0 115084 98634005 3447212 13542788 0 0 1888973 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 3 50 0x1d00 135 200112.0 30.0 0.0 3025735149 79899732 2806068 14179 48343 0 269874 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 4 50 0x1d00 135 200112.0 30.0 0.0 3125111534 9528297285 537108684 12392020 0 0 450573 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 5 50 0x1d00 135 200112.0 30.0 0.0 33701897 167204897 5796056 43587 0 0 458780 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 6 50 0x1d00 135 200112.0 30.0 0.0 33187992 116664414 4007106 27586 0 0 375695 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 7 50 0x1d00 135 200112.0 30.0 0.0 35811161 107335876 3757452 57381 0 0 292610 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 8 50 0x1d00 135 200112.0 30.0 0.0 37627914 186074894 6452512 75261 0 0 2085042 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 9 50 0x1d00 135 200112.0 30.0 0.0 3126566041 10255737492 573001635 16763587 29290 0 1173775 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 10 50 0x1d00 135 200112.0 30.0 0.0 3092357688 9639304372 541366595 13544806 0 0 169708 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 11 50 0x1d00 135 200112.0 30.0 0.0 3122046467 9981222914 558086907 15737777 0 0 99441 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 12 50 0x1d00 135 200112.0 30.0 0.0 3100780651 9633460337 541285841 13553478 0 0 322799 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 13 50 0x1d00 135 200112.0 30.0 0.0 3151174266 9978450325 558711519 15549811 0 0 1843820 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 14 50 0x1d00 135 200112.0 30.0 0.0 3078467655 9894242749 555507019 13900796 56086 0 386338 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 0 15 50 0x1d00 135 200112.0 30.0 0.0 3118462442 10058242608 562170944 15910652 0 0 1652565 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt 0 50 0x1d00 135 200112.0 30.0 2487.26 34293191002 99392744361 5556711689 160539847 194474 0 11713187 38.6 41.4 60.1 85.6 91.4 102.2 923865200938 1010868652911
ebbrt_core 1 0 50 0x1d00 135 199855.2 30.0 1235.42 3103669889 9791832751 550176866 14269150 0 0 0 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 1 50 0x1d00 135 199855.2 30.0 1265.68 3113292570 10162765240 567698890 16810450 0 0 1352734 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 2 50 0x1d00 135 199855.2 30.0 0.0 3161458395 450790095 20829926 2438577 0 0 3256265 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 3 50 0x1d00 135 199855.2 30.0 0.0 62473328 458668755 24414172 1566103 80968 0 2519636 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 4 50 0x1d00 135 199855.2 30.0 0.0 3170152703 10017845660 562422932 14298928 0 0 1125490 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 5 50 0x1d00 135 199855.2 30.0 0.0 48536445 215616536 7479873 833665 0 0 1638181 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 6 50 0x1d00 135 199855.2 30.0 0.0 58245556 511185422 22985343 2935161 0 0 1352473 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 7 50 0x1d00 135 199855.2 30.0 0.0 47778641 246899717 11362331 592370 0 0 80069 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 8 50 0x1d00 135 199855.2 30.0 0.0 24920144 455307886 19837524 2585142 0 0 3418491 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 9 50 0x1d00 135 199855.2 30.0 0.0 3903032 10006583921 559740113 15542350 0 0 3293559 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 10 50 0x1d00 135 199855.2 30.0 0.0 39063545 503968979 22801551 2515558 0 0 3245535 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 11 50 0x1d00 135 199855.2 30.0 0.0 4682161 174340160 6473210 328197 89523 0 2876104 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 12 50 0x1d00 135 199855.2 30.0 0.0 30541373 524108521 23358110 2511906 60059 0 2722375 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 13 50 0x1d00 135 199855.2 30.0 0.0 3066553749 179698873 5949274 518743 0 0 2589990 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 14 50 0x1d00 135 199855.2 30.0 0.0 52911027 273038777 9464828 2164775 54085 0 2302687 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 1 15 50 0x1d00 135 199855.2 30.0 0.0 12694379 137659232 3809603 174112 55912 0 2609797 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt 1 50 0x1d00 135 199855.2 30.0 2501.1 16000876937 44110310525 2418804546 80085187 340547 0 34383386 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 2 0 50 0x1d00 135 200115.5 30.0 1232.81 3061929457 9481277562 534335782 12687909 0 0 0 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
