sys i itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END
linux 0 1 0xffff 135 200246.8 30.01 2075.44 348525379917 444127986042 707250686503 521723743 2762740651 0 1293990998888 51.7 53.8 61.6 78.0 84.4 100.9 4103255344991 4190272055545
linux 1 1 0xffff 135 199946.5 30.01 2129.68 265731122368 411659459457 675233107946 502310270 2654374118 0 1307341176902 51.7 53.8 61.5 78.0 84.4 101.1 4439290552775 4526306297538
linux 2 1 0xffff 135 199826.3 30.01 2048.19 395603743608 471352786512 734856415368 586917004 4376261704 0 1255839815670 51.4 53.3 61.1 77.8 84.1 100.7 4773846191555 4860861170921
linux 3 1 0xffff 135 199840.6 30.01 2145.0 284801867757 418137838145 681005851049 490724621 3494430980 0 1306617460993 52.0 54.4 61.7 78.2 84.6 102.3 5109318368272 5196333864617
linux 4 1 0xffff 135 199926.8 30.01 2054.3 433023444087 486523225150 749793912384 578525477 4340916504 0 1259639114225 51.6 53.7 61.5 78.0 84.4 101.3 5444849961898 5531865268550
linux 0 1 0xffff 135 399910.6 30.01 3030.37 485761961039 735483839251 931052838874 992297875 2991174927 0 2012632432614 48.4 50.5 59.1 76.3 83.2 105.9 9144530565057 9231545524753
linux 1 1 0xffff 135 399925.7 30.01 2993.04 487395628114 730470077213 926135173850 925477674 3502021237 0 2013984099907 48.1 50.3 58.9 76.7 84.3 111.4 9581966825698 9668982931214
linux 2 1 0xffff 135 399877.2 30.01 2966.1 621890581788 798942564074 994782326273 1045918869 4423359328 0 1944970607159 48.0 50.3 58.9 76.8 84.5 112.3 10017971472158 10104986838258
linux 3 1 0xffff 135 399959.1 30.01 3075.47 788270030807 877558317144 1070982831862 1218045830 5538147951 0 1897750512215 50.2 51.4 60.5 78.0 85.5 107.5 10456596982112 10543612857888
linux 4 1 0xffff 135 399906.7 30.01 3074.44 527860878831 756792214270 951942445878 1022822805 4165256312 0 2012328491879 48.7 50.6 59.3 76.8 83.9 109.0 10895689331284 10982704129337
linux 0 1 0xffff 135 599945.0 30.01 4124.16 1013562629451 1210748657602 1289947029421 2124954824 4931414156 0 2331144145839 49.2 51.3 62.4 84.5 96.2 137.0 15719391305151 15806406679768
linux 1 1 0xffff 135 599883.5 30.01 4137.93 693112842193 1067952833162 1147121102552 1977468471 3220458874 0 2462688220398 47.9 50.5 61.3 83.9 96.1 135.3 16223823328616 16310838613111
linux 2 1 0xffff 135 599776.8 30.01 4025.99 533423102344 992723560836 1070877501136 1901849863 2541696822 0 2554523800284 47.5 50.3 61.2 83.9 96.1 137.7 16727969896187 16814985355318
linux 3 1 0xffff 135 600179.1 30.01 4029.22 805313658674 1117724025804 1196308798950 2046127880 4426809951 0 2405903489323 48.2 50.7 61.7 84.1 96.3 134.0 17231866509490 17318881245158
linux 4 1 0xffff 135 599605.2 30.01 4157.74 879463145944 1155279738615 1234938476049 2099242950 4820611826 0 2371564274818 48.5 50.9 61.8 84.2 96.0 136.0 17736666615130 17823681883780
linux 0 1 0xffff 95 200041.6 30.0 2102.67 292774009372 424326591495 687401342385 510676832 4269478455 0 1286930436429 51.6 53.6 61.4 78.0 84.3 100.4 5782776260686 5869790449592
linux 1 1 0xffff 95 200155.4 30.01 2098.95 269047215942 408701267338 670457017239 453154855 2307212276 0 1318005572928 51.7 53.8 61.5 78.1 84.5 101.7 6119118103700 6206133017906
linux 2 1 0xffff 95 200094.6 30.01 2066.58 434539575814 485389137435 748489367858 567911225 3906477654 0 1278177555393 51.8 53.9 61.6 78.1 84.6 101.2 6454451545566 6541467335655
linux 3 1 0xffff 95 199900.8 30.01 2113.1 447258710785 493956217713 757608099670 604400488 4387326190 0 1225996377089 51.6 53.6 61.4 77.9 84.3 100.9 6791442751108 6878458485270
linux 4 1 0xffff 95 199832.7 30.01 2081.16 303259587818 427660414778 690840200868 517214746 4030498068 0 1294313143068 51.9 54.1 61.8 78.2 84.7 102.0 7126155670317 7213170827044
linux 0 1 0xffff 95 400022.4 30.01 3099.46 694874387227 835751605630 1032524984142 1097546905 4705872398 0 1921263739939 48.4 50.4 59.0 76.8 84.5 110.6 11333684037927 11420699960970
linux 1 1 0xffff 95 399879.7 30.01 3105.3 581519591351 782116995209 976627361849 1062201671 4305259380 0 1957916039655 49.2 50.8 59.4 77.2 84.9 110.0 11771164588327 11858180409004
linux 2 1 0xffff 95 399913.5 30.01 2983.85 369622970276 692541364929 885767911958 1006483794 2975446342 0 2061366418647 48.5 50.5 59.3 76.9 84.0 106.5 12209401659715 12296417308582
linux 3 1 0xffff 95 399942.1 30.01 2960.03 626536465177 798628091836 995332241151 1025930799 3957277853 0 1938837839960 50.2 51.5 60.4 78.1 86.0 112.1 12649410337828 12736426040615
linux 4 1 0xffff 95 399858.6 30.01 3074.85 667518384147 822361030448 1017347408567 1122774276 4517601585 0 1935127675573 48.3 50.4 59.1 76.8 84.2 109.1 13088326156440 13175341478466
linux 0 1 0xffff 95 599719.5 30.01 4175.8 689244404773 1067700597733 1146458238445 1998748118 3657651303 0 2455572811863 47.9 50.5 61.6 84.2 96.6 137.7 18240978668684 18327993726414
linux 1 1 0xffff 95 599927.1 30.01 4175.46 836850531957 1137440835261 1216082749796 2062112536 4360292013 0 2377493363707 47.5 50.3 61.0 83.7 95.8 136.3 18746097184193 18833112714744
linux 2 1 0xffff 95 599808.7 30.01 4132.64 690624173125 1066491742376 1145569921088 1984595135 3549518626 0 2460675544389 47.6 50.3 61.2 83.7 96.0 135.7 19249344381372 19336359813890
linux 3 1 0xffff 95 599806.0 30.01 4028.43 810208610713 1120872549363 1199374316450 2048395282 3261657608 0 2409011598485 47.8 50.5 61.3 83.6 95.3 134.5 19754343950756 19841358947543
linux 4 1 0xffff 95 599953.3 30.01 4039.9 836476085946 1136534343092 1215794022316 2070052104 4156556660 0 2387242516195 47.5 50.3 61.0 83.1 95.2 134.7 20258433773661 20345449422365
linux 0 1 0xffff 55 199973.4 30.01 2096.25 259538097102 405132147484 667751702069 453686755 2132733950 0 1327401361953 51.4 53.3 61.2 77.9 84.3 102.0 7461545120409 7548560352082
linux 1 1 0xffff 55 199876.8 30.01 2060.46 370353152805 456992515646 720311070069 538748463 3727335780 0 1271905194113 51.5 53.4 61.2 77.9 84.4 101.2 7798777630182 7885792701134
linux 2 1 0xffff 55 200080.2 30.0 2110.0 447222170338 494344712765 758106581453 606371576 3828317724 0 1222443970382 51.7 53.8 61.5 78.1 84.8 102.0 8133930807073 8220945070667
linux 3 1 0xffff 55 200229.5 30.0 2081.53 360970097197 454353179193 717608016493 545828531 3408404945 0 1276004018124 51.6 53.6 61.5 78.1 84.6 102.2 8469131124169 8556144862840
linux 4 1 0xffff 55 199986.8 30.01 2069.55 342553446178 441817857875 704394920232 502344458 3284018899 0 1314368892772 51.8 53.9 61.5 78.0 84.3 100.7 8806041623503 8893056937965
linux 0 1 0xffff 55 400085.2 30.01 2992.67 610461419119 793988562525 988153538492 1085178587 4097877306 0 1984702435174 48.8 50.6 59.4 77.4 85.1 109.9 13526299459033 13613314675560
