sys i itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END QPS_reported
linux 0 1 0xffff 135 199912.6 20.0 2554.37 317682070257 479711683191 495375774685 815179480 224052492 0 513884437 57.4 60.6 85.0 201.2 256.9 419.4 4739623954092 4797629263622 200000
linux 0 1 0xffff 135 100021.3 20.0 1902.51 165102460329 260670257129 334571680413 406247923 9520526 0 24396134 58.2 61.8 85.0 180.9 229.9 332.0 4378084189097 4436089558466 100000
linux 0 1 0xffff 135 49973.4 20.0 1624.22 86757672303 141436496725 219356941340 206949560 6484400 0 26181867 59.9 64.3 97.4 199.8 271.5 375.3 4062424142317 4120428145937 50000
linux 0 50 0x1d00 135 50009.5 20.0 2040.79 87845879191 146174174291 148516391201 211570461 2101369 0 12025662 55.9 57.8 75.4 128.5 157.8 196.3 11581388451582 11639393642163 50000
linux 0 50 0x1d00 95 49865.2 20.0 2053.03 88061672506 146496769367 148709153882 214276764 1839731 0 18972496 55.6 57.4 75.2 129.0 158.4 199.7 13125188642436 13183193816691 50000
linux 0 50 0x1d00 75 50013.3 20.0 2022.05 88917325405 148745696840 150601698435 219042289 71756498 0 41026688861 56.3 58.6 77.0 128.5 161.3 200.3 14666648536304 14724653787448 50000
linux 0 50 0x1d00 55 50095.7 20.0 2044.37 87630443024 144387371184 146673736247 207185100 1312540 0 19908848 55.4 57.2 74.5 127.0 154.8 194.2 16291571532674 16349577256712 50000
linux 0 50 0x1d00 135 100031.0 20.0 2257.65 166105398851 265029695180 265410246833 411290630 7535621 0 620252058 56.4 58.9 82.1 148.1 176.0 225.5 12041528254514 12099533846326 100000
linux 0 50 0x1d00 95 100086.2 20.0 2263.97 166642319138 267096796125 267255575964 413255072 3538870 0 13009951 56.4 58.8 81.5 147.6 175.5 222.9 13582915634948 13640920743932 100000
linux 0 50 0x1d00 75 100063.4 20.0 2267.23 166746329785 268323845603 268480809347 419120212 6755144 0 20322823 56.3 58.7 81.4 147.6 175.5 222.0 15126481368881 15184486985640 100000
linux 0 50 0x1d00 55 100078.4 20.0 2128.56 165078097431 260561388877 274435406027 399294127 13607351 0 34415228 56.9 59.7 83.5 151.7 179.8 226.8 16749241024489 16807246371528 100000
linux 0 50 0x1d00 135 199998.8 20.0 2619.81 315823065839 477760760926 477761934253 808382198 18963825 0 39646393 59.2 64.5 102.3 197.5 232.9 333.8 12549628033630 12607633492302 200000
linux 0 50 0x1d00 95 200176.0 20.0 2622.71 316345703260 478869856891 478870725676 813334211 63864873 0 120606157 59.6 64.9 102.9 198.6 237.0 338.7 14091035646467 14149042063799 200000
linux 0 50 0x1d00 75 199996.9 20.0 2602.16 312817916346 465160881647 465162042760 760038583 59429236 0 156385139 58.8 63.9 99.7 186.3 219.8 304.9 15717884440548 15775889673477 200000
linux 0 50 0x1d00 55 200059.1 20.0 2045.22 310217752097 454198588989 580267764018 800004556 2798880277 0 4984748375 66.7 74.9 132.7 3399.6 6303.9 11049.6 17258483001470 17316486935834 200000
linux 0 100 0x1d00 135 50016.6 20.0 2005.05 86305465404 147023118429 161342600608 211734126 1391391 0 18745455 57.6 61.4 101.4 171.3 194.4 247.3 17839094893654 17897099836209 50000
linux 0 100 0x1d00 95 50036.3 20.0 2013.17 86450447485 148471807153 162736215995 214033263 1028195 0 15608206 57.4 60.9 97.5 169.7 192.9 247.2 19242713106121 19300717864503 50000
ebbrt 0 50 0x1c00 135 50065.4 20.0 1845.12 66021506875 78086298998 3184057862 139307650 858110 0 14965131 45.2 48.2 70.3 127.3 155.5 200.3 968334274917 1026336319919
ebbrt 1 50 0x1c00 135 50088.2 20.0 1855.12 17979053250 26804726735 2719524089 42885571 0 0 6686124 46.3 49.1 71.3 128.6 159.4 204.4 1201399937497 1259402251140
ebbrt 0 50 0x1c00 95 49960.9 20.0 1857.17 22415455819 30825908657 2903688188 48470675 270599 0 9807249 46.0 48.9 70.9 127.0 159.1 204.5 1667232489637 1725235409870
ebbrt 1 50 0x1c00 95 50017.0 20.0 1856.46 18224751211 54435407013 3614699439 48858158 1124823 0 8165936 45.8 48.8 71.0 128.2 161.6 206.0 1900471382518 1958473276348
ebbrt 0 50 0x1c00 75 49990.6 21.45 1857.89 18857808012 66956342121 3867332579 52893515 1132711 0 59763084 45.6 48.5 71.3 127.7 160.8 207.8 2362338536497 2424555706858
ebbrt 1 50 0x1c00 75 50088.4 20.0 1861.63 19203808567 69613841015 3861673598 56113496 53621 0 5895613 45.6 48.5 70.9 127.1 160.6 207.5 2599657700790 2657660355158
ebbrt 0 50 0x1c00 55 50048.6 20.0 1861.96 19841703175 70073767393 3625063285 63067261 63104 0 11625172 46.5 49.4 72.0 129.9 163.8 209.1 3065500906394 3123502375264
ebbrt 1 50 0x1c00 55 50017.3 20.0 1864.08 24161653893 72169524335 3638233732 60840947 1572235 0 20673288 45.9 48.7 71.7 130.9 163.4 207.1 3298107659803 3356111210730
ebbrt 0 50 0x1c00 135 99994.5 20.0 2030.51 35264892062 112048132814 6357004809 97522777 133458 0 4635070 46.6 50.1 76.6 144.8 175.0 224.9 3764751228800 3822753630474
ebbrt 1 50 0x1c00 135 99959.9 20.0 2032.69 34916112749 131602266218 6379572476 97958921 152917 0 5031703 46.6 50.1 76.5 143.2 174.3 223.6 4002313533712 4060315939868
ebbrt 0 50 0x1c00 95 100054.8 20.0 2031.36 47905717981 143634155772 6358105501 92751234 659315 0 30812906 46.0 49.4 76.0 144.2 175.3 225.3 4465122957862 4523127343318
ebbrt 1 50 0x1c00 95 100008.7 20.0 2032.46 40966020468 151474054915 6363184875 113656866 156977 0 5909852 45.9 49.4 75.8 144.8 173.5 223.3 4702507101144 4760509577170
ebbrt 0 50 0x1c00 75 99979.0 20.0 2033.04 42579862516 176963857893 6803607537 116217200 325496 0 5456176 46.6 50.0 77.0 145.4 177.1 224.9 5177695651329 5235697268318
ebbrt 1 50 0x1c00 75 99992.6 20.0 2033.77 44159841059 167920825608 6421678232 144477374 599343 0 5962284 45.9 49.3 75.6 143.1 172.5 222.6 5415140766198 5473144012564
ebbrt 0 50 0x1c00 55 99992.0 20.0 1996.83 44580762796 167628066301 6476428186 127180055 382423 0 5741217 46.3 49.9 77.0 147.7 178.4 227.8 5890516230194 5948517797560
ebbrt 1 50 0x1c00 55 99965.7 20.0 1995.63 44985150487 166975809167 6447122078 150052980 281648 0 4104370 46.2 49.6 76.8 147.2 178.5 227.2 6128053287286 6186056083272
ebbrt 0 50 0x1c00 135 199967.3 20.0 2271.27 75355717243 294746936835 11482698226 340838145 350378 0 12808720 94.8 127.8 341.3 539.5 584.2 676.4 6591238220372 6649240083416
ebbrt 1 50 0x1c00 135 199931.3 20.0 2277.65 75188447343 304766423197 11510039608 347917907 930726 0 37548214 92.2 125.5 338.1 537.5 580.5 667.0 6816729319565 6874732799026
ebbrt 0 50 0x1c00 95 200074.8 20.0 2317.68 81940703877 329778239323 11798974215 313811886 29551 0 21049070 48.5 54.2 85.6 171.9 201.9 270.3 7268417534304 7326421909461
ebbrt 1 50 0x1c00 95 200132.5 20.0 2322.59 83433204971 334608339398 11922168758 325940812 133081 0 2280328 48.8 54.5 86.1 173.2 202.7 275.5 7511332875850 7569334703518
