sys i itr dvfs rapl lat50 lat75 lat90 lat99 requests time joule ins cyc refcyc llcm c3 c6 c7 START_RDTSC END_RDTSC
ebbrt 0 4 0x1d00 135 54.0 55.0 60.0 107.0 500655 30.1 940.62 46706994401 65209104402 2384567429 4551907 0 0 167330 930572219718 1017864587246
ebbrt 1 4 0x1d00 135 54.0 55.0 82.0 107.0 496122 30.1 939.27 46243263394 64476238447 2374051376 4751626 0 0 154715 1061666294436 1148955175088
ebbrt 2 4 0x1d00 135 54.0 55.0 56.0 107.0 515847 30.1 945.21 47919063769 67574050207 2417563128 4676509 35148 0 253025 1193323043368 1280614569310
ebbrt 3 4 0x1d00 135 53.0 54.0 56.0 107.0 510468 30.1 941.72 47133462902 65807358722 2390097490 4643886 0 0 223126 1325099020275 1412389363390
ebbrt 4 4 0x1d00 135 54.0 54.0 56.0 107.0 521751 30.1 947.38 48226310264 68468331970 2431142650 5157053 33437 0 234726 1457176026162 1544466324050
ebbrt 5 4 0x1d00 135 55.0 57.0 106.0 109.0 466425 30.1 933.06 43056855849 61600572814 2343015553 5457625 37729 0 231594 1588644374470 1675933922989
ebbrt 6 4 0x1d00 135 54.0 55.0 56.0 107.0 520493 30.1 947.82 48087819082 68792831088 2435700658 5800530 37613 0 192850 1721533373578 1808825690240
ebbrt 7 4 0x1d00 135 54.0 54.0 55.0 107.0 524283 30.1 947.72 48404417744 68615869478 2432599419 5811377 35554 0 222053 1853784815975 1941073261061
ebbrt 8 4 0x1d00 135 54.0 54.0 55.0 106.0 526981 30.1 947.87 48685313584 68770312506 2433421783 5879928 32190 0 267438 1985995401092 2073286428845
ebbrt 9 4 0x1d00 135 54.0 55.0 56.0 107.0 509639 30.1 944.82 47061380600 67063993939 2412624214 5899336 0 0 267148 2118333823564 2205623955678
ebbrt 0 4 0x1b00 135 57.0 58.0 59.0 106.0 506652 30.1 897.27 47592836918 68741791796 2559746689 5896159 80678 0 334573 2250486485962 2337777374252
ebbrt 1 4 0x1b00 135 57.0 58.0 59.0 106.0 508292 30.1 896.74 47348519728 68659101897 2556688395 5931633 16646 0 192850 2382784169350 2470074969332
ebbrt 2 4 0x1b00 135 57.0 57.0 58.0 107.0 511696 30.1 895.48 47642282088 67636318882 2525681471 5710289 57130 0 296757 2514957517506 2602247019703
ebbrt 3 4 0x1b00 135 56.0 57.0 57.0 105.0 518929 30.1 896.06 48012900451 67943226441 2530092444 5780691 37642 0 210656 2646523930822 2733816629386
ebbrt 4 4 0x1b00 135 56.0 56.0 57.0 106.0 516080 30.1 894.63 47715604789 67333015305 2513742398 5997598 16559 0 224170 2778363761883 2865652292804
ebbrt 5 4 0x1b00 135 56.0 56.0 57.0 105.0 520612 30.1 895.81 48132843883 67888054881 2528443466 5784317 27811 0 208858 2910637704900 2997929349450
