,sys,rnd,msg,itr,dvfs,rapl,joules,time,edp,llcmiss_total,cycles_total,ins_total,num_interrupts
0,ebbrt,6,524288,32,0x1D00,135,7877715.0,13926690967.0,5.48552511655502e+16,4787445182,6371863270476.0,6193772290831,143110
1,linux,2,65536,12,0x1800,135,1557140.0,2591515003.0,2017675835885710.0,1384970035035,182118316099717.0,146994521242645,70894
2,ebbrt,6,65536,36,0x1800,135,1284863.0,2667484964.0,1713676366649966.0,129592901,162714698897.0,157709708460,24983
3,ebbrt,9,524288,80,0xC00,135,6087192.0,15059636104.0,4.583544820758998e+16,3974556353,3747933519561.0,3845064217955,63406
4,linux,5,64,16,0x1200,135,258984.0,527085414.0,68253344429688.0,3610853081003,244251051909545.0,130709873808486,9985
5,linux,3,524288,28,0x1000,135,6988449.0,14497983993.0,5.065921086894843e+16,732933735202349,8.756322837437522e+16,68849198874470071,173956
6,ebbrt,6,8192,20,0x1800,135,314324.0,777390800.0,122176292909600.0,9669924,10255778492.0,4769631419,13120
7,ebbrt,8,65536,36,0x1000,135,1149324.0,2670667116.0,1534730906214792.0,121513135,147397639453.0,147846390526,24986
8,ebbrt,6,64,6,0x1500,135,262037.0,496479508.0,65048000418898.0,52706775,18818808555.0,2217785322,7600
9,linux,8,524288,8,0x1500,135,8148242.0,14127669439.0,5.755783474248812e+16,303792392695019,3.6226097367619544e+16,27438746881626817,454102
10,ebbrt,1,8192,40,0x1C00,135,475009.0,1184865876.0,281410977446442.0,11763341,12295251343.0,6147485336,10000
11,linux,2,65536,20,0x1500,135,1540062.0,2825232099.0,2175516298425069.0,1965135023746,261708943079453.0,205754495544012,47517
12,linux,0,65536,36,0x1000,135,1691917.0,3667054573.0,3102175985993220.5,9497888000694,1030921264635359.0,777457477883269,33905
13,linux,5,524288,60,0x1700,135,8364086.0,15083650445.0,6.308047475795914e+16,77920122032836,9717483594439752.0,7216448041097632,80638
14,linux,8,64,24,0x1700,135,392321.0,710129769.0,139299410551924.5,7849751914952,523861765052918.0,278957260592261,9984
15,ebbrt,4,8192,12,0x1600,135,353492.0,762654764.0,134796178917944.0,12350000,15376403858.0,5416411830,19459
16,ebbrt,0,8192,80,0xF00,135,942160.0,2371848137.0,1117330220377960.0,22807860,24213836800.0,12276576374,10000
