fname,instructions_1,instructions_10,instructions_25,instructions_50,instructions_75,instructions_90,instructions_99,cycles_1,cycles_10,cycles_25,cycles_50,cycles_75,cycles_90,cycles_99,ref_cycles_1,ref_cycles_10,ref_cycles_25,ref_cycles_50,ref_cycles_75,ref_cycles_90,ref_cycles_99,llc_miss_1,llc_miss_10,llc_miss_25,llc_miss_50,llc_miss_75,llc_miss_90,llc_miss_99,c1_1,c1_10,c1_25,c1_50,c1_75,c1_90,c1_99,c1e_1,c1e_10,c1e_25,c1e_50,c1e_75,c1e_90,c1e_99,c3_1,c3_10,c3_25,c3_50,c3_75,c3_90,c3_99,c6_1,c6_10,c6_25,c6_50,c6_75,c6_90,c6_99,c7_1,c7_10,c7_25,c7_50,c7_75,c7_90,c7_99,joules_1,joules_10,joules_25,joules_50,joules_75,joules_90,joules_99,rx_desc_1,rx_desc_10,rx_desc_25,rx_desc_50,rx_desc_75,rx_desc_90,rx_desc_99,rx_bytes_1,rx_bytes_10,rx_bytes_25,rx_bytes_50,rx_bytes_75,rx_bytes_90,rx_bytes_99,tx_desc_1,tx_desc_10,tx_desc_25,tx_desc_50,tx_desc_75,tx_desc_90,tx_desc_99,tx_bytes_1,tx_bytes_10,tx_bytes_25,tx_bytes_50,tx_bytes_75,tx_bytes_90,tx_bytes_99,joules_per_interrupt,time_per_interrupt,read_avg,read_std,read_min,read_5th,read_10th,read_50th,read_90th,read_95th,read_99th,sys,itr,dvfs,rapl,core,exp
data/qps_200000//linux.mcd.dmesg.0_7_2_0xf00_135_200000,191958.2,260155.0,302056.0,349680.0,401128.0,454632.0,615294.6000000004,424295.2,571822.0,660038.0,758309.0,858210.0,946656.0,1094248.8000000007,820247.6,1105509.0,1276029.0,1466008.0,1659264.0,1830190.0,2115538.4000000013,497.0,716.0,854.0,1016.0,1190.0,1365.0,1799.4000000000017,0.0,3.0,6.0,9.0,13.0,16.0,22.0,0.0,0.0,2.0,4.0,7.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,0.029085560000567,0.0297112200005358,0.0300927199996294,0.0305352599998514,0.0310388400002921,0.0315729399999327,0.0616809199995259,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,120.0,141.0,615.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,96.0,192.0,1086.0,0.0008169929668216,2.6855243623755622e-05,63.6,12.8,41.1,50.6,51.8,59.8,79.3,87.7,109.4,linux,2,3840,135,7,0
data/qps_200000//linux.mcd.dmesg.0_3_400_0x1b00_135_200000,175800.25,240230.5,277492.25,321535.5,375745.75,470413.5,729489.3000000002,384196.15,503826.0,575189.75,659149.5,755479.0,855992.0,1147574.1,474216.7,611566.5,698088.0,804170.0,927615.75,1062502.0,1405885.200000001,432.0,607.0,716.0,853.0,1023.0,1246.5,1877.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,1.0,3.0,6.0,8.0,12.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,8.0,0.0392792399998143,0.0420413000001644,0.0436283400003958,0.0455816200001208,0.0484924649995264,0.0899424399999588,0.0947951199996168,1.0,2.0,4.0,5.0,7.0,9.0,13.0,111.76999999999998,310.0,503.0,763.0,1139.0,1637.0,3354.0,0.0,3.0,9.0,15.0,20.0,24.0,35.0,0.0,180.0,489.0,931.0,1558.0,2415.0,5235.0,0.0183409674953587,0.0004125517187083,270.2,116.3,37.4,87.6,111.2,270.6,426.4,447.0,485.4,linux,400,6912,135,3,0
data/qps_200000//linux.mcd.dmesg.0_0_10_0x1300_135_200000,203095.0,278094.0,322133.0,374956.0,432399.0,499266.0,673878.0,428014.0,585629.0,676140.0,782200.0,889808.0,991623.0,1176526.0,653283.0,893780.0,1031994.0,1193872.0,1358128.0,1513510.0,1795738.0,377.0,548.0,657.0,792.0,943.0,1105.0,1575.0,4.0,12.0,18.0,23.0,28.0,32.0,38.0,0.0,0.0,0.0,2.0,4.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0341976600002453,0.0349759199998516,0.0354337199996734,0.035983080000733,0.036547700000483,0.0371886200000517,0.072958060000019,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,66.0,127.0,176.0,740.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,99.0,271.0,1225.0,0.0013484354472321,3.761819204508929e-05,58.5,7.9,41.1,50.2,50.9,56.9,68.9,73.8,86.0,linux,10,4864,135,0,0
data/qps_200000//linux.mcd.dmesg.0_11_10_0x1300_135_200000,199389.44,272315.7,318153.75,369739.0,425197.25,481269.70000000007,628318.8,434496.83,592915.2000000001,690037.75,796735.5,908585.75,1010579.7,1189708.97,663158.95,904945.0,1053193.0,1216115.0,1386787.25,1542423.0,1815793.24,433.0,623.0,746.0,898.0,1064.0,1234.0,1685.6699999999985,4.0,12.0,17.0,23.0,27.0,31.0,37.0,0.0,0.0,0.0,1.0,4.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,0.0343502599990733,0.0350522199987608,0.0354947599998922,0.0359983400003329,0.0365629600000829,0.0372191400001611,0.072956381400063,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,66.0,127.0,179.0,743.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,99.0,274.0,1235.0,0.0013326841345866,3.7144445848689045e-05,58.5,7.9,41.1,50.2,50.9,56.9,68.9,73.8,86.0,linux,10,4864,135,11,0
data/qps_200000//linux.mcd.dmesg.0_12_10_0x1700_135_200000,203170.0,279691.6,327674.0,385048.0,447414.0,521629.20000000007,707845.5999999993,432747.92,596942.8,694360.0,809296.0,925690.0,1035222.6,1252051.8799999997,545639.64,752729.8,875539.0,1020481.0,1167279.0,1305377.0,1578766.9599999995,389.0,564.0,678.0,817.0,980.0,1147.0,1605.0,3.0,13.0,19.0,25.0,30.0,34.0,41.0,0.0,0.0,0.0,2.0,4.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,0.0401032800000393,0.0410188800015021,0.0415529799938667,0.0421939000007114,0.0428500799971516,0.0436588599986862,0.0854706496046856,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,66.0,127.0,174.0,741.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,99.0,273.0,1305.0,0.001585473012694,3.7721910121883545e-05,53.9,5.9,37.4,46.3,47.5,53.1,61.6,65.4,74.6,linux,10,5888,135,12,0
data/qps_200000//linux.mcd.dmesg.0_0_50_0x1300_135_200000,181416.1,252688.0,292153.75,337973.0,385455.0,434939.5,596990.4999999987,374538.2,526883.5,608184.0,699600.5,794362.25,879576.0,1031901.35,571917.7,804590.5,928630.75,1068345.5,1212874.25,1343077.0,1574968.2499999998,361.0,536.0,645.0,779.0,933.0,1107.0,1611.0,0.0,3.0,6.0,10.0,14.0,19.0,25.0,1.0,4.0,7.0,10.0,12.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0334957000013673,0.0342358099987905,0.0346859800010861,0.0352353400012361,0.0358152200024051,0.0364561399983358,0.0716281509980035,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,121.0,183.0,315.0,1076.0,0.0,0.0,0.0,3.0,3.0,6.0,9.0,0.0,0.0,0.0,90.0,195.0,482.0,1794.0,0.0021759157857791,6.2010461706385e-05,75.5,16.5,41.1,52.0,54.6,74.6,98.9,104.0,113.7,linux,50,4864,135,0,0
data/qps_200000//linux.mcd.dmesg.0_5_200_0xf00_135_200000,156663.13,213244.4,246351.5,286393.5,331782.75,387741.90000000014,585732.7000000003,337553.76,440048.5,501894.0,572824.5,649304.0,724509.9,881556.1200000001,659593.98,861708.9,981969.0,1120545.5,1267539.25,1411456.1,1712991.4300000006,371.71,525.0,628.0,750.0,893.0,1053.0,1475.5800000000015,0.0,0.0,0.0,0.0,2.0,4.0,8.0,0.0,1.0,3.0,5.0,8.0,9.0,12.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,7.0,0.0271780600000965,0.0281699600000138,0.0286124999997809,0.0291008199997122,0.0295738799995888,0.0300164199998107,0.0588883400000668,0.0,1.0,2.0,3.0,4.0,5.0,8.0,0.0,119.0,229.0,378.0,607.0,928.0,2261.5399999999936,0.0,0.0,3.0,6.0,12.0,15.0,21.0,0.0,0.0,182.0,401.0,812.0,1409.0,3487.0,0.0059396698742906,0.0002052361137022,173.9,57.2,45.3,81.2,95.4,175.4,249.2,265.0,289.4,linux,200,3840,135,5,0
data/qps_200000//linux.mcd.dmesg.0_11_2_0xf00_135_200000,188080.4,260311.0,301564.0,350920.0,402891.0,454720.0,621382.0000000007,409829.8,568659.0,655483.0,754432.0,855243.0,942327.0,1103588.200000001,792280.0,1099419.0,1267271.0,1458555.0,1653493.0,1821809.0,2133582.200000001,476.6,702.0,837.0,1000.0,1175.0,1344.0,1769.0000000000073,0.0,3.0,6.0,9.0,13.0,16.0,22.0,0.0,0.0,2.0,4.0,7.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,0.029100820000167,0.0297112200005358,0.0300774600000295,0.0305352599998514,0.0310388400002921,0.0315881999995326,0.0618029999995997,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,120.0,141.0,614.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,96.0,190.0,1083.0,0.0008208064008266,2.697952678851333e-05,63.6,12.8,41.1,50.6,51.8,59.8,79.3,87.7,109.4,linux,2,3840,135,11,0
data/qps_200000//linux.mcd.dmesg.0_9_10_0x1700_135_200000,191810.6,269580.0,317364.0,372104.0,430172.0,489141.0,655767.0,421111.6,592500.0,693457.0,809673.0,929659.0,1039630.0,1263066.6,530961.0,747127.0,874379.0,1020974.0,1172267.0,1310887.0,1592604.6,440.0,635.0,766.0,923.0,1099.0,1282.0,1868.0,4.0,13.0,18.0,24.0,29.0,33.0,40.0,0.0,0.0,0.0,2.0,4.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,0.0403474400009145,0.0412477799982298,0.0417818800051463,0.0424380600015865,0.043140020003193,0.0440250999963609,0.0861274400012916,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,66.0,127.0,178.0,741.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,99.0,273.0,1296.439999999944,0.001562476551998,3.694386954916065e-05,53.9,5.9,37.4,46.3,47.5,53.1,61.6,65.4,74.6,linux,10,5888,135,9,0
data/qps_200000//linux.mcd.dmesg.0_11_30_0x1100_135_200000,187548.36,262368.2,303627.0,352200.0,401419.0,450641.2,611569.9199999999,408684.64,564849.2,654770.0,755675.0,855077.0,944044.0,1103147.64,697209.88,963617.8,1117051.0,1289108.0,1458729.0,1610451.2,1881841.32,412.52,597.0,721.0,863.0,1020.0,1181.0,1672.0,4.0,11.0,15.0,19.0,23.0,26.0,31.0,0.0,0.0,0.0,2.0,5.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0315729399953852,0.0322596400001202,0.0326411399946664,0.0330836799985263,0.033587259997148,0.0341213600040646,0.0669303600006969,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,111.0,135.0,249.0,893.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,90.0,112.0,356.0,1458.0,0.0015390452604035,4.6684210735650287e-05,66.9,11.5,41.1,51.8,54.1,64.8,82.3,87.4,101.3,linux,30,4352,135,11,0
