ITR MSG DVFS RAPL TPUT LAT PK0_JOULE PK1_JOULE START_RDTSC END_RDTSC
0 64 0xc00 135 27.504922 0.204002 3.007812 3.274963 689203031245639 689203545847768
0 64 0xc00 125 27.632248 0.203252 2.99823 3.267517 689315243791971 689315756013218
0 64 0xc00 115 27.531137 0.204316 3.007339 3.274902 689456438899334 689456953032794
0 64 0xc00 105 27.671712 0.20275 2.984421 3.237518 689597547170917 689598058643906
0 64 0xc00 95 27.607589 0.203733 3.00795 3.256638 689746320047552 689746832696801
0 64 0xc00 85 27.732527 0.202673 2.988678 3.257629 689891032788623 689891543160482
0 64 0xc00 75 27.636462 0.203803 2.998444 3.256668 690032195978713 690032708112826
0 64 0xc00 65 27.556624 0.203635 3.024445 3.276382 690173324510062 690173838122265
0 64 0xc00 55 27.780491 0.202036 2.981979 3.25647 690314905335811 690315414803548
0 64 0xc00 45 27.294002 0.205622 3.031784 3.303131 690456921238296 690457439767759
0 8192 0xc00 135 1762.803227 0.3692 6.020889 6.601349 689204193214324 689205221043799
0 8192 0xc00 125 1758.279496 0.381908 6.039459 6.617966 689345325485696 689346356028159
0 8192 0xc00 115 1766.518999 0.380716 6.022034 6.600159 689486529232509 689487554966955
0 8192 0xc00 105 1762.887395 0.381237 6.021133 6.623672 689627618536303 689628646309585
0 8192 0xc00 95 1772.481585 0.379325 5.984283 6.563705 689776395731096 689777418017984
0 8192 0xc00 85 1754.789718 0.383031 6.054199 6.638107 689921111482811 689922144099383
0 8192 0xc00 75 1760.851838 0.381638 6.038422 6.620178 690062277681399 690063306635126
0 8192 0xc00 65 1755.376067 0.382316 6.055405 6.640717 690203409044308 690204441264983
0 8192 0xc00 55 1772.330592 0.379057 5.982483 6.558701 690345001454901 690346023794522
0 8192 0xc00 45 1764.220929 0.381095 6.034988 6.59787 690487011605216 690488038602594
0 65536 0xc00 135 4371.826382 1.169668 19.502518 21.598068 689234806849541 689238122721605
0 65536 0xc00 125 4426.223972 1.15638 19.257675 21.338669 689375923784417 689379198862163
0 65536 0xc00 115 4406.579511 1.161074 19.33609 21.418579 689517130461602 689520420128715
0 65536 0xc00 105 4415.720595 1.158952 19.296356 21.373047 689658224473517 689661507016876
0 65536 0xc00 95 4379.660884 1.168542 19.443039 21.55101 689806985699964 689810295385012
0 65536 0xc00 85 4384.191213 1.166996 19.429108 21.50618 689951715699785 689955022090491
0 65536 0xc00 75 4427.984693 1.155495 19.230286 21.306885 690092899194979 690096172945112
0 65536 0xc00 65 4425.162049 1.156457 19.239243 21.32663 690234033591123 690237309301618
0 65536 0xc00 55 4430.381298 1.15541 19.209839 21.291916 690375599870811 690378871924553
0 65536 0xc00 45 4419.115916 1.157798 19.264145 21.367264 690517604047909 690520884431669
0 524288 0xc00 135 6455.078855 6.223961 105.758957 117.890182 689267698447884 689285664689568
0 524288 0xc00 125 6455.998666 6.222401 105.71904 117.922943 689408776880689 689426741279704
0 524288 0xc00 115 6452.21032 6.226557 105.803375 117.999008 689550004199329 689567978954409
0 524288 0xc00 105 6468.037715 6.210891 105.481705 117.650009 689691093964939 689709022720170
0 524288 0xc00 95 6454.742343 6.224044 105.701202 117.878525 689843377111310 689861344653452
0 524288 0xc00 85 6446.706307 6.231625 105.824326 118.063934 689984603837375 690002594043644
0 524288 0xc00 75 6449.418958 6.228548 105.781601 118.089661 690125764139895 690143746756652
0 524288 0xc00 65 6465.770838 6.213381 105.461563 117.7061 690266898592754 690284835491040
